日期,产品类别,地区,销售额,订单量,月份
2024-03-21,电子产品,北方,7080,35,2024-03
2024-03-21,电子产品,南方,6735,28,2024-03
2024-03-21,电子产品,华东,6692,29,2024-03
2024-03-21,电子产品,西部,6405,35,2024-03
2024-03-21,家用电器,北方,5025,29,2024-03
2024-03-21,家用电器,南方,3447,20,2024-03
2024-03-21,家用电器,华东,4266,24,2024-03
2024-03-21,家用电器,西部,3961,20,2024-03
2024-03-21,服装服饰,北方,4880,21,2024-03
2024-03-21,服装服饰,南方,5258,24,2024-03
2024-03-21,服装服饰,华东,6632,27,2024-03
2024-03-21,服装服饰,西部,5109,23,2024-03
2024-03-21,家居用品,北方,3554,20,2024-03
2024-03-21,家居用品,南方,2445,20,2024-03
2024-03-21,家居用品,华东,2442,20,2024-03
2024-03-21,家居用品,西部,2545,20,2024-03
2024-03-21,运动户外,北方,2560,20,2024-03
2024-03-21,运动户外,南方,1705,20,2024-03
2024-03-21,运动户外,华东,2126,20,2024-03
2024-03-21,运动户外,西部,1786,20,2024-03
2024-03-22,电子产品,北方,7626,32,2024-03
2024-03-22,电子产品,南方,7791,40,2024-03
2024-03-22,电子产品,华东,6184,32,2024-03
2024-03-22,电子产品,西部,6554,29,2024-03
2024-03-22,家用电器,北方,4119,24,2024-03
2024-03-22,家用电器,南方,3947,20,2024-03
2024-03-22,家用电器,华东,3898,22,2024-03
2024-03-22,家用电器,西部,3813,20,2024-03
2024-03-22,服装服饰,北方,6192,28,2024-03
2024-03-22,服装服饰,南方,5054,22,2024-03
2024-03-22,服装服饰,华东,4979,21,2024-03
2024-03-22,服装服饰,西部,5487,25,2024-03
2024-03-22,家居用品,北方,2951,20,2024-03
2024-03-22,家居用品,南方,2909,20,2024-03
2024-03-22,家居用品,华东,2476,20,2024-03
2024-03-22,家居用品,西部,1755,20,2024-03
2024-03-22,运动户外,北方,2230,20,2024-03
2024-03-22,运动户外,南方,1779,20,2024-03
2024-03-22,运动户外,华东,1832,20,2024-03
2024-03-22,运动户外,西部,2145,20,2024-03
2024-03-23,电子产品,北方,10260,43,2024-03
2024-03-23,电子产品,南方,9470,51,2024-03
2024-03-23,电子产品,华东,8537,50,2024-03
2024-03-23,电子产品,西部,9790,57,2024-03
2024-03-23,家用电器,北方,5840,27,2024-03
2024-03-23,家用电器,南方,4312,25,2024-03
